# 1D Euler DG Solution - Physical Variables
# Time: 1.000000000000000e-02
# NX=200, Polynomial Order=2
# gamma=1.400000000000000e+00
#
# Columns:
#   1: x (cell center)
#   2: rho (density)
#   3: u (velocity)
#   4: p (pressure)
#   5: E (total energy)
#   6: e (internal energy per unit mass)
#   7: Ma (Mach number)
#
-2.250000000000000e-01 8.955077138020602e-01 1.408348885645201e+01 8.568506781677859e+02 2.230936281200264e+03 3.377273180544899e+03 3.847940338956646e-01
-2.150000000000000e-01 8.774739054241734e-01 1.482650048574796e+01 8.327919001424032e+02 2.178425152166313e+03 3.645186291328303e+03 4.067461933227489e-01
-2.050000000000000e-01 8.592386075601544e-01 1.559033764236982e+01 8.086648644846271e+02 2.126084839666074e+03 3.984865340028470e+03 4.295009288461918e-01
-1.950000000000000e-01 8.409909810188411e-01 1.636782111080284e+01 7.847246946026439e+02 2.074464819697335e+03 4.423791160808496e+03 4.528598948022853e-01
-1.849999999999999e-01 8.228730552130173e-01 1.715324715761893e+01 7.611594841675260e+02 2.023957279622419e+03 5.006894369003226e+03 4.766624235135265e-01
-1.749999999999999e-01 8.049857909763874e-01 1.794236547746915e+01 7.380970312958514e+02 1.974816503863098e+03 5.812698119422174e+03 5.007870144624782e-01
-1.650000000000000e-01 7.874132806524603e-01 1.873141050578004e+01 7.156382836401689e+02 1.927233880618738e+03 6.990116422533785e+03 5.251230100940090e-01
-1.550000000000000e-01 7.702556244692175e-01 1.951551959382732e+01 6.939029787669996e+02 1.881435494342226e+03 8.855561554566508e+03 5.495208360175307e-01
-1.450000000000000e-01 7.536762815080479e-01 2.028664628718759e+01 6.730820843413954e+02 1.837792200629892e+03 1.220528038281522e+04 5.737261534328773e-01
-1.350000000000000e-01 7.379480790606289e-01 2.103083898147441e+01 6.534988469473183e+02 1.796942928621184e+03 1.972689099829589e+04 5.972870117476616e-01
-1.250000000000000e-01 7.235324810683125e-01 2.172424003595599e+01 6.356942374348773e+02 1.759968495596527e+03 4.910552230083415e+04 6.194203279973512e-01
-1.150000000000000e-01 7.110751691886483e-01 2.233245178808023e+01 6.204215394812741e+02 1.728374095802924e+03 -1.380320877260419e+05 6.389791840030992e-01
-1.050000000000000e-01 7.016082879641702e-01 2.280050977259201e+01 6.088842643579266e+02 1.704580841857029e+03 -3.430643733619100e+04 6.541246558265663e-01
-9.499999999999997e-02 6.968885217645785e-01 2.303578257718639e+01 6.031551049935078e+02 1.692788761384403e+03 -2.476405744616290e+04 6.617685208508042e-01
-8.499999999999996e-02 6.953949868028423e-01 2.311047479750165e+01 6.013456965240682e+02 1.689067402124540e+03 -2.273775008208584e+04 6.641994692836793e-01
-7.499999999999996e-02 6.949764313808713e-01 2.313142100045170e+01 6.008390733490406e+02 1.688025644560143e+03 -2.222613697219406e+04 6.648815008990314e-01
-6.499999999999995e-02 6.949346793851285e-01 2.313351106075177e+01 6.007885544085469e+02 1.687921776117271e+03 -2.217631687013283e+04 6.649495580490413e-01
-5.499999999999993e-02 6.951757120634986e-01 2.312144647424972e+01 6.010802937966118e+02 1.688521649693083e+03 -2.246692920309874e+04 6.645566869469131e-01
-4.500000000000003e-02 6.960740417158910e-01 2.307650117566019e+01 6.021681521356790e+02 1.690758762333680e+03 -2.361782571146433e+04 6.630935024979997e-01
-3.500000000000002e-02 6.976898849040900e-01 2.299579303986374e+01 6.041259932018132e+02 1.694786455204437e+03 -2.600162707448186e+04 6.604680685966401e-01
-2.500000000000002e-02 6.985972546053947e-01 2.295053084358747e+01 6.052263493998549e+02 1.697050844757749e+03 -2.755557550547260e+04 6.589967016886977e-01
-1.500000000000001e-02 6.993811363112803e-01 2.291148500379651e+01 6.061769759137479e+02 1.699007658602545e+03 -2.905037331260274e+04 6.577281957577330e-01
-5.000000000000000e-03 6.999274049634157e-01 2.288426425793465e+01 6.068404676112027e+02 1.700373503116409e+03 -3.018861532617762e+04 6.568438958111094e-01
5.000000000000009e-03 7.003391072592288e-01 2.286379818732578e+01 6.073397216558861e+02 1.701401582496388e+03 -3.110534957163547e+04 6.561795725606331e-01
1.500000000000002e-02 7.006518798669604e-01 2.284823965388624e+01 6.077194869157032e+02 1.702183590990528e+03 -3.183883084276195e+04 6.556744975297075e-01
2.500000000000003e-02 7.008410699157257e-01 2.283861939487719e+01 6.079544014172134e+02 1.702666243195896e+03 -3.229934031120864e+04 6.553602521413621e-01
3.500000000000004e-02 7.009419294651553e-01 2.283348215137706e+01 6.080798720292690e+02 1.702923993475181e+03 -3.255019258598890e+04 6.551923760812093e-01
4.500000000000005e-02 7.009882474296784e-01 2.283119028368928e+01 6.081358465389549e+02 1.703039322300283e+03 -3.266657869732920e+04 6.551181057534234e-01
5.500000000000006e-02 7.010610085865852e-01 2.282781948069228e+01 6.082182104739624e+02 1.703210246713317e+03 -3.285075591047605e+04 6.550110232288597e-01
6.500000000000006e-02 7.011841729793575e-01 2.282173428935996e+01 6.083669179097560e+02 1.703516716693033e+03 -3.316768526281173e+04 6.548138916910612e-01
7.500000000000007e-02 7.013227654866853e-01 2.281369662112438e+01 6.085633587345452e+02 1.703915286975106e+03 -3.353311967215186e+04 6.545422911877329e-01
8.500000000000008e-02 7.014227812836973e-01 2.280860120406827e+01 6.086879043850162e+02 1.704171150454620e+03 -3.380077269255367e+04 6.543758026476044e-01
9.500000000000008e-02 7.015488052503301e-01 2.280177137291851e+01 6.088548820382866e+02 1.704512105320875e+03 -3.414457488114920e+04 6.541489027842561e-01
1.050000000000001e-01 7.017177381273665e-01 2.279285553240300e+01 6.090729146781246e+02 1.704958473586568e+03 -3.461592196162599e+04 6.538547814042850e-01
1.150000000000001e-01 7.018493398525664e-01 2.278749296630388e+01 6.092041155184282e+02 1.705234884488031e+03 -3.498976322544929e+04 6.536918394536698e-01
1.250000000000001e-01 7.019608880489029e-01 2.278050978219338e+01 6.093750062731400e+02 1.705579387781292e+03 -3.531634874685914e+04 6.534518009779953e-01
1.350000000000001e-01 7.021867056632154e-01 2.277229702215931e+01 6.095760105156560e+02 1.706009143562834e+03 -3.598736472283642e+04 6.532135570340535e-01
1.450000000000001e-01 7.024097598658016e-01 2.276655362888032e+01 6.097166357079059e+02 1.706326685221695e+03 -3.667173746627621e+04 6.530771986721156e-01
1.549999999999999e-01 7.027912807550322e-01 2.275944083137697e+01 6.098908844200446e+02 1.706747393240573e+03 -3.789976642619854e+04 6.529571490217041e-01
1.649999999999999e-01 7.035441097675210e-01 2.275195581542384e+01 6.100744157199068e+02 1.707281368856230e+03 -4.056818877122709e+04 6.529936787813044e-01
1.749999999999999e-01 7.061396876788442e-01 2.274557514318807e+01 6.102311868752322e+02 1.708242601253689e+03 -5.350822434448999e+04 6.539296299801843e-01
1.849999999999999e-01 7.164967605905751e-01 2.273886196429219e+01 6.103972478385668e+02 1.711227538027835e+03 1.971908201162048e+05 6.584238284564903e-01
1.950000000000000e-01 7.541768069938695e-01 2.273199350161008e+01 6.105714112856577e+02 1.721286520415168e+03 1.093282753178266e+04 6.752146536762209e-01
2.050000000000000e-01 8.835899646804364e-01 2.272567916471085e+01 6.107454922709593e+02 1.755031618101561e+03 2.576703060770541e+03 7.305469055925331e-01
2.150000000000000e-01 1.320690998201016e+00 2.272208736492354e+01 6.110265456449299e+02 1.868498290751940e+03 7.197291055670961e+02 8.928012244429784e-01
2.250000000000000e-01 2.680222878238837e+00 2.271634964484095e+01 6.113585690701016e+02 2.219937534077367e+03 2.221254576188185e+02 1.271194425905579e+00
2.350000000000000e-01 4.401265794400967e+00 2.270942951660729e+01 6.117401831136993e+02 2.664256870115746e+03 1.185135976213312e+02 1.627974134723283e+00
2.450000000000000e-01 5.097149409483307e+00 2.269681900717699e+01 6.117416739122226e+02 2.842241212473036e+03 9.969699468124369e+01 1.750977740220523e+00
2.550000000000000e-01 5.353000079684942e+00 2.263023312281185e+01 6.078419500978571e+02 2.890314018766624e+03 9.359766247670277e+01 1.794850581706623e+00
2.650000000000000e-01 5.191338341185971e+00 2.208992617912241e+01 5.710041932407407e+02 2.694105770986860e+03 9.110014378175573e+01 1.780124039893884e+00
2.750000000000000e-01 3.589762448002004e+00 1.767535847728095e+01 3.341576676031974e+02 1.396147904866822e+03 8.300677431652210e+01 1.548322241183542e+00
2.850000000000000e-01 2.018601820949341e+00 9.715206089684466e+00 1.109938019017668e+02 3.727476026879147e+02 6.078379824311760e+01 1.107296600112693e+00
2.950000000000000e-01 1.343036248933222e+00 3.566155078166288e+00 2.538509132622188e+01 7.200273457365907e+01 2.883847741031956e+01 6.932513266989316e-01
3.050000000000000e-01 1.054349722935579e+00 4.329723591791131e-01 1.657164553593867e+00 4.241738253030405e+00 3.480782843066196e+00 2.918809026627773e-01
3.150000000000001e-01 1.002847370506323e+00 1.050040936571190e-02 2.181485966329179e-02 5.459243543019161e-02 5.399900603815608e-02 6.017047239750730e-02
3.250000000000001e-01 1.000040856391476e+00 3.784868471976723e-05 1.000575736731664e-02 2.501439413458233e-02 2.501081693724390e-02 3.197942583637066e-04
3.350000000000001e-01 1.000000174666221e+00 3.831403645459087e-08 1.000000453392054e-02 2.500001133480208e-02 2.499999605150938e-02 3.238126641267435e-07
3.450000000000001e-01 1.000000000605373e+00 9.062792060704962e-11 1.000000001072320e-02 2.500000002680801e-02 2.499999997383787e-02 7.659457268036339e-10
3.550000000000001e-01 1.000000000001527e+00 1.997881334117776e-13 1.000000000002361e-02 2.500000000005904e-02 2.499999999992542e-02 1.688517909971619e-12
3.650000000000001e-01 1.000000000000003e+00 4.095554251665662e-16 1.000000000000003e-02 2.500000000000009e-02 2.499999999999986e-02 3.461375101266699e-15
3.750000000000001e-01 1.000000000000000e+00 7.599905678536437e-19 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 6.423092619750484e-18
3.850000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
3.950000000000001e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
4.049999999999999e-01 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02 2.500000000000000e-02 2.500000000000000e-02 0.000000000000000e+00
