# 1D Euler DG Solution - High Resolution Output
# Time: 1.000000000000000e-02
# Output at all Gauss quadrature points
#
# Columns: x  rho  u  p  E  Ma
#
-9.995308992296933e-01 9.999999999999999e-01 1.000000000000000e+01 1.000000000000000e+03 2.550000000000000e+03 2.672612419124244e-01
-9.976923465505284e-01 9.999999999999999e-01 1.000000000000000e+01 1.000000000000000e+03 2.550000000000000e+03 2.672612419124244e-01
-9.950000000000000e-01 1.000000000000000e+00 9.999999999999998e+00 9.999999999999998e+02 2.550000000000000e+03 2.672612419124244e-01
-9.923076534494716e-01 1.000000000000000e+00 9.999999999999995e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.904691007703067e-01 1.000000000000000e+00 9.999999999999989e+00 1.000000000000000e+03 2.550000000000001e+03 2.672612419124241e-01
-9.895308992296933e-01 1.000000000000000e+00 9.999999999999991e+00 1.000000000000000e+03 2.550000000000001e+03 2.672612419124241e-01
-9.876923465505284e-01 1.000000000000000e+00 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.850000000000000e-01 1.000000000000000e+00 9.999999999999995e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.823076534494716e-01 1.000000000000000e+00 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.804691007703067e-01 1.000000000000000e+00 9.999999999999991e+00 9.999999999999998e+02 2.550000000000000e+03 2.672612419124242e-01
-9.795308992296933e-01 1.000000000000000e+00 9.999999999999996e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124243e-01
-9.776923465505284e-01 9.999999999999999e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.750000000000000e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.723076534494716e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.704691007703067e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.695308992296933e-01 1.000000000000000e+00 9.999999999999991e+00 1.000000000000000e+03 2.550000000000001e+03 2.672612419124242e-01
-9.676923465505284e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.650000000000000e-01 9.999999999999999e-01 9.999999999999986e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.623076534494716e-01 9.999999999999999e-01 9.999999999999984e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.604691007703067e-01 9.999999999999999e-01 9.999999999999984e+00 1.000000000000000e+03 2.550000000000001e+03 2.672612419124240e-01
-9.595308992296933e-01 9.999999999999999e-01 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124239e-01
-9.576923465505284e-01 1.000000000000000e+00 9.999999999999986e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.550000000000000e-01 1.000000000000000e+00 9.999999999999991e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.523076534494715e-01 1.000000000000000e+00 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.504691007703067e-01 9.999999999999999e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.495308992296932e-01 9.999999999999999e-01 9.999999999999995e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.476923465505284e-01 9.999999999999999e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124242e-01
-9.450000000000000e-01 1.000000000000000e+00 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124241e-01
-9.423076534494715e-01 1.000000000000000e+00 9.999999999999982e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.404691007703067e-01 1.000000000000000e+00 9.999999999999980e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124239e-01
-9.395308992296932e-01 1.000000000000000e+00 9.999999999999980e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124239e-01
-9.376923465505284e-01 9.999999999999998e-01 9.999999999999984e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.349999999999999e-01 9.999999999999992e-01 9.999999999999989e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.323076534494715e-01 9.999999999999989e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.304691007703066e-01 9.999999999999989e-01 9.999999999999993e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.295308992296933e-01 9.999999999999989e-01 9.999999999999986e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124238e-01
-9.276923465505285e-01 9.999999999999993e-01 9.999999999999988e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.250000000000000e-01 1.000000000000000e+00 9.999999999999984e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124240e-01
-9.223076534494716e-01 1.000000000000001e+00 9.999999999999977e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124238e-01
-9.204691007703067e-01 1.000000000000001e+00 9.999999999999972e+00 1.000000000000000e+03 2.550000000000000e+03 2.672612419124238e-01
