# 1D Euler DG Solution - Modal Coefficients
# Time: 1.000000000000000e-02
# NX=200, DIM_PK=3
#
# Format: cell_id  x_center  rho_0  rho_1  rho_2  rhou_0  rhou_1  rhou_2  E_0  E_1  E_2  
    0 -9.950000000000000e-01    1.0000000000000000e+00    1.4061231491111658e-16   -1.0238686619493977e-16    9.9999999999999964e+00   -3.3235027729808478e-15   -3.6902661020601724e-15    2.5500000000000005e+03    3.9912177081320487e-13    8.8073881702495367e-13 
    1 -9.850000000000000e-01    1.0000000000000000e+00   -9.9560227100048352e-17    1.5522997442600253e-16    9.9999999999999929e+00    3.6094746491942806e-16   -4.0209531874887341e-15    2.5500000000000005e+03   -3.5706781012762900e-13    3.7462138529195310e-13 
    2 -9.750000000000000e-01    1.0000000000000000e+00    1.6656203684303278e-16    1.3593510267499739e-16    9.9999999999999893e+00   -4.5510832615211502e-15    5.6577413193479048e-15    2.5500000000000005e+03   -7.2269136786263529e-14   -1.3235021827310242e-13 
    3 -9.650000000000000e-01    1.0000000000000000e+00   -2.4864997929423426e-16    1.8911525519443385e-16    9.9999999999999858e+00   -6.3924539943312519e-15    3.5904965357788078e-15    2.5500000000000005e+03   -1.5088896876579624e-13    5.1843682246846174e-13 
    4 -9.550000000000000e-01    1.0000000000000000e+00   -5.0045051594476623e-17   -2.6369176106933022e-16    9.9999999999999893e+00    4.9609567523867340e-15   -5.6921904841777212e-15    2.5500000000000005e+03   -2.2630816039310635e-13   -3.6808884047764057e-13 
    5 -9.450000000000000e-01    1.0000000000000000e+00    2.8204508570340061e-16    1.3857183810514508e-16    9.9999999999999876e+00   -6.0855588721964905e-15    1.1560931176990746e-15    2.5500000000000005e+03    2.1225613299040056e-13   -3.3714205040833151e-13 
    6 -9.349999999999999e-01    9.9999999999999933e-01   -7.2976311986910883e-16    3.5906790469165722e-16    9.9999999999999822e+00    9.7302893691027337e-16   -1.3175252521785372e-15    2.5500000000000005e+03   -1.2962002041656781e-13    4.2962936677689292e-13 
    7 -9.250000000000000e-01    1.0000000000000000e+00    1.2147051930335911e-15   -6.8412074403901924e-17    9.9999999999999822e+00    3.7367938084054090e-15   -6.4100741994215461e-15    2.5500000000000005e+03    1.1437777818478805e-13   -1.6915328363534349e-13 
    8 -9.150000000000000e-01    1.0000000000000000e+00   -1.1185746368810346e-15   -1.0560009238148140e-16    9.9999999999999876e+00    1.2782152867658613e-15   -5.4739017670333581e-15    2.5500000000000005e+03   -2.1963347612403920e-13    6.7030900829925452e-15 
    9 -9.050000000000000e-01    1.0000000000000000e+00    9.3023678942677707e-16   -4.7706585750404669e-16    9.9999999999999822e+00   -8.2338247271418537e-15    3.8274682526162416e-15    2.5500000000000005e+03   -2.8843266419523652e-13   -3.5774319819129899e-13 
   10 -8.950000000000000e-01    1.0000000000000000e+00   -5.3069406519249203e-16    4.3932420047708463e-16    9.9999999999999751e+00    5.2343570504853355e-17    4.6115734796931405e-15    2.5500000000000005e+03   -6.2721896442624461e-14   -3.1228948383084822e-13 
   11 -8.850000000000000e-01    1.0000000000000000e+00    6.3323491935820694e-18   -1.0812408495017834e-16    9.9999999999999751e+00   -2.0959222844404743e-15    4.4110919792240536e-17    2.5500000000000005e+03   -4.4556296672839650e-13   -1.1001103880369637e-13 
   12 -8.750000000000000e-01    1.0000000000000000e+00   -2.6943378644991365e-16   -2.8997528797259882e-16    9.9999999999999805e+00    1.8937143033152220e-15   -2.6891737617233917e-15    2.5500000000000005e+03   -8.2253822833394334e-14    3.0822274024391720e-14 
   13 -8.650000000000000e-01    1.0000000000000000e+00    2.6967296671869407e-16   -4.4090827448850428e-16    9.9999999999999769e+00   -7.5183056995863825e-15   -1.7844834153760014e-15    2.5500000000000005e+03   -4.4556296672839630e-13   -3.4735611770315742e-13 
   14 -8.550000000000000e-01    9.9999999999999933e-01   -7.3698267386101039e-16    6.7769158909248577e-17    9.9999999999999716e+00   -2.9691608037619402e-15   -1.9724681611640319e-15    2.5500000000000005e+03    2.2386847957010368e-13   -1.6009744177343578e-13 
   15 -8.450000000000000e-01    9.9999999999999867e-01    1.9769102333455486e-16    4.2610756628001801e-16    9.9999999999999716e+00    2.2006094254506267e-15    4.5275166868216641e-15    2.5500000000000005e+03   -2.0981283221572706e-13    4.6371025382570659e-13 
   16 -8.350000000000000e-01    9.9999999999999933e-01    1.5882772410021279e-17   -6.9500575738033293e-17    9.9999999999999769e+00    1.2799240590450118e-15   -3.0855283503794434e-15    2.5500000000000005e+03   -3.6699781546180450e-13   -3.7955832045113405e-14 
   17 -8.250000000000001e-01    1.0000000000000000e+00    8.0618462235381537e-17   -8.5521722236901539e-16    9.9999999999999893e+00    8.7980001652150866e-15   -5.2374306670743818e-15    2.5500000000000005e+03   -2.0813049097022262e-13   -3.4084506306204245e-13 
   18 -8.150000000000001e-01    1.0000000000000000e+00    5.4578308128823668e-16   -1.0060123062246559e-16    9.9999999999999964e+00    4.0436889305403763e-15   -3.9976111207848784e-15    2.5500000000000005e+03   -3.6351243643988608e-14    8.6829565831346168e-14 
   19 -8.050000000000000e-01    9.9999999999999933e-01   -8.5922114973642695e-16    3.6078418425671894e-16    9.9999999999999858e+00   -1.5243256916885811e-14    2.1781946611950856e-15    2.5500000000000005e+03    2.6320573591633895e-13   -3.8789497898790212e-14 
   20 -7.950000000000000e-01    1.0000000000000000e+00    8.4340501021571909e-16   -5.6275571696640115e-16    9.9999999999999893e+00    7.7755860155248036e-15   -4.5978600263038941e-15    2.5500000000000005e+03   -2.3596476216262200e-13    4.4099204766063316e-13 
